Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funded,Funding-Date,Funding-Stage,Total-Funding,Maturity,Inc.-Compass,Hero
Feather,"Rentfeather is an online furniture rental platform. The company offers various furniture packages that include bedroom, living room, and studio apartment packages. Also offers furniture for dining room, bedroom, living room, and home office. Users can take a style quiz on company's platform to know the kind of furniture to rent and they can also buy the rented furniture. Few of the brands associated with the company are west elm, JOYBIRD, Tuft&Needle, and Casper.",https://livefeather.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2017,0,United States,Global,Yes,"Monday, 3 August 2020",Series B,"$7,600,000,000.00",Emerging,TRUE,FALSE
Ambi Robotics,"Developer of AI-based robots for logistics and manufacturing. Its operating system enables pick and pack operations, ambidextrous grasping, item-picking, kitting and hardware-software integration. It caters to manufacturing, e-commerce, parcel sorting and consolidation, retail, and the pharmaceutical sector.",https://www.ambirobotics.com/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2018,0,United States,Global,Yes,"Wednesday, 15 September 2021",Series A,36.000.000,Nascent,TRUE,FALSE
XYZ Robotics,"XYZ Robotics designs and manufactures robotic perception and manipulation solutions for applications in the logistics and manufacturing industry. It provides deep learning-enabled robots to sort boxes of goods in order to improve the shipping throughput of warehouses. Their products include robots for dismantling and picking, depalletization, 3D vision, etc.",https://www.xyzrobotics.ai,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2018,0,United States,Global,Yes,"Monday, 19 July 2021",Series B,63.000.000,Emerging,TRUE,FALSE
ATTAbotics,"Provider of web-based warehouse automation robots. Offers a robotic AS/RS (automated storage and retrieval system) which is capable of autonomously performing storing/put-away and picking processes. It caters to retail, grocery, and ecommerce industries.",https://www.attabotics.com/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2015,0,Canada,Global,Yes,"Tuesday, 15 December 2020",Series C,82.700.000,Emerging,TRUE,FALSE
Second Closet,"Second Closet is an online platform that provides on-demand B2C self-storage services. The platform enables users to book storage spaces in the company's warehouses. It offers multiple monthly pricing plans to users depending on the type of goods & space required. The company offers pickup/delivery services along with additional services such as insurance, temperature-controlled storage, partial/full return, and more.",https://www.secondcloset.com,Transport & Logistics ,Logistics​,(14) Storing goods for the over-consumed,2016,0,Canada,Global,Yes,"Tuesday, 30 March 2021",Series B,35.200.000,Emerging,TRUE,FALSE
VisionNav,"VisionNav is a provider of AI and cloud-driven robotics solutions for logistics. It provides autonomous guided forklifts, automated guided vehicles, autonomous case-handling robots, autonomous tractors, and smart robot systems. The deep learning-based driverless industrial vehicles and unmanned logistics solutions help in managing warehouse operations. It features storage capacity & digital management capabilities.",https://www.visionnav.com,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2016,0,China,Global,Yes,"Friday, 29 April 2022",Series C,80.000.000,Emerging,TRUE,FALSE
Exotec,"Exotec provides industrial robots for warehouse automation. The robotic product Skypod provides automated order picking systems and reduces fatigue and risks associated with pedestrian traffic in the warehouse by improving site productivity. It provides solution in industries like food, e-commerce, retail, logistics, etc",https://www.exotec.com/en/home/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2015,0,France,Europe,Yes,"Monday, 17 January 2022",Series D,446.200.000,Mature,TRUE,FALSE
Inhabitr,"Online portal for renting furniture. The product catalog includes beds, sofas, chairs, nightstands, storage cabinets, and home decor items as well. The platform also provides curated looks of different rooms for users to book the rental in periodic subscription plans. It claims to offer free design consultations, same-day delivery, and free assembly.",https://www.inhabitr.com/,Space Management,Furnishings & Appliances​,(1) New services for a new age,2016,0,United States,Global,Yes,#########################,Series A,"$4,000,000.00",Nascent,TRUE,FALSE
Beleco,"Online rental platform offering home furnishing products. The platform allows renting furniture on monthly basis. The company delivers, carries in, assembles and returns the furniture.",https://beleco.com,Space Management,Furnishings & Appliances​,(1) New services for a new age,2016,0,Sweden,Europe,Yes,"Tuesday, 8 February 2022",Seed,"$4,243,595.00",Nascent,TRUE,
Fabrento,"Fabrento is an online rental platform for furniture. It offers home furniture, office furniture, home appliances & accessories, wardrobe, single/double beds, and more. They also offer setup & installation services. The company operators in cities like Bangalore, Mumbai, Delhi, and more.",https://www.fabrento.com/,Space Management,Furnishings & Appliances​,(1) New services for a new age,2016,8,India,Global,Yes,"Tuesday, 11 February 2020",Seed,"$42,020.00",Nascent,TRUE,
